Designator,Mid X,Mid Y,Rotation,Layer
Q203,58.35,-80.525,180.0,top
Q204,3.0,41.35,180.0,top
Q205,16.0,41.35,180.0,top
Q206,77.65,-4.625,90.0,top
Q207,29.0,41.35,180.0,top
Q208,41.999999,41.35,180.0,top
Q209,55.0,41.35,180.0,top
Q210,67.999999,41.35,180.0,top
Q301,-67.6,3.8,90.0,top
Q601,17.965,3.71,90.0,top
Q602,-3.675,-44.875,180.0,top
R201,-50.5,-83.25,180.0,top
R202,-46.05,-66.95,180.0,top
R203,-52.8,-60.125,0.0,top
R204,-52.8,-62.825,180.0,top
R205,-56.625,-85.975,270.0,top
R206,-63.525,-76.964,180.0,top
R207,-52.25,-76.989,90.0,top
R208,73.375,-53.975,180.0,top
R209,73.35,-24.975,180.0,top
R210,-3.15,48.5,90.0,top
R211,57.2,-17.175,90.0,top
R212,-3.15,50.725,270.0,top
R213,54.545,-79.875,0.0,top
R214,9.85,48.47,90.0,top
R215,59.975,-14.85,0.0,top
R216,58.35,-77.975,0.0,top
R217,9.85,50.683,270.0,top
R218,22.85,48.47,90.0,top
R219,63.4,-36.05,0.0,top
R220,63.4,-34.025,180.0,top
R221,63.75,-64.8,0.0,top
R222,63.75,-62.925,180.0,top
R223,22.85,50.708,270.0,top
R224,78.025,-16.125,0.0,top
R225,35.85,48.5,90.0,top
R226,81.325,-16.55,90.0,top
R227,35.85,50.725,270.0,top
R228,48.875,48.495,90.0,top
R229,41.4,-4.625,180.0,top
R230,41.4,-13.755933,180.0,top
R231,51.8215,-34.15,0.0,top
R232,51.8215,-32.175,180.0,top
R233,51.9,-63.2,0.0,top
R234,51.9,-61.275,180.0,top
R235,48.875,50.733,270.0,top
R236,61.85,48.5,90.0,top
R237,61.85,50.708,270.0,top
R238,73.701,-44.68025,0.0,top
R239,73.293,-68.425,0.0,top
R240,74.85,48.5,90.0,top
R241,77.3035,47.025,0.0,top
R242,74.85,50.733,270.0,top
R301,-79.025,-55.55,180.0,top
R302,-75.9,-62.525,0.0,top
R303,-79.275,2.5,270.0,top
R304,-84.025,-7.5,180.0,top
R401,-52.275,-43.05,270.0,top
R402,-52.275,-29.758,270.0,top
R403,-12.275,94.3,0.0,top
R404,-12.275,96.7,0.0,top
R405,6.1,91.9,180.0,top
R406,-31.775,-72.4,0.0,top
R407,-21.1,-62.9,270.0,top
R408,-17.3,-73.125,180.0,top
R501,-60.875,43.95,270.0,top
R502,-20.4,56.875,90.0,top
R601,2.275,-6.875,90.0,top
R602,0.4,-6.875,90.0,top
R603,-3.675,-5.6,0.0,top
R604,-71.475,49.5,90.0,top
R605,-74.25,48.75,0.0,top
R606,-42.375,49.5,90.0,top
R607,-45.2,48.75,0.0,top
R608,7.825,0.025,0.0,top
R609,6.825,-2.925,90.0,top
R610,4.55,-6.4,270.0,top
R611,-0.95,-1.45,270.0,top
R612,-2.7,5.175,180.0,top
R613,-65.2,32.475,270.0,top
R614,-63.025,32.475,90.0,top
R615,-34.5,42.05,0.0,top
R616,-34.5,39.925,180.0,top
R617,-3.65,-0.35,270.0,top
R618,13.25,-2.35,180.0,top
R619,-73.4,24.8,270.0,top
R620,-82.1995,20.975,180.0,top
R621,-44.55,24.7965,270.0,top
R622,-52.35,20.96975,180.0,top
R623,-3.1,-36.9,180.0,top
R624,-14.8,-36.75,90.0,top
R625,17.67,-69.425,90.0,top
R626,-84.05,12.25,270.0,top
R627,-57.35,13.3,90.0,top
SW301,-78.15,-58.42,0.0,top
U201,-53.45,-85.375,180.0,top
U202,-57.975,-62.825,90.0,top
U203,-58.0,-78.239,180.0,top
U204,58.1,-30.275,90.0,top
U205,58.1,-59.375,90.0,top
U206,68.95,-16.125,270.0,top
U207,68.0,-79.25,270.0,top
U208,78.875,38.925,0.0,top
U209,-21.124,38.927,0.0,top
U301,-71.675,-38.0,90.0,top
U302,-67.915231,-1.5,0.0,top
U401,-46.35,-40.775,0.0,top
U402,-46.35,-27.07025,0.0,top
U403,-14.0,89.55,0.0,top
U404,-24.875,-53.8,90.0,top
U501,-62.775,49.475,270.0,top
U502,-18.3,51.425,90.0,top
U601,-71.025,44.3,270.0,top
U602,-41.975,44.3,270.0,top
U603,10.675,4.325,0.0,top
U604,2.81375,0.0,90.0,top
U605,16.65,-2.35,180.0,top
U606,-6.575,0.125,270.0,top
U607,-69.425,24.6,270.0,top
U608,-40.65,24.6,270.0,top
U609,8.675,-48.7,180.0,top
U610,-11.375,-37.3,90.0,top
U611,-71.215,17.55,180.0,top
U612,-44.525,17.55,180.0,top
U613,-80.0,12.45,270.0,top
U614,-54.35,12.65,180.0,top
USB301,-83.865,-1.5,270.0,top
X401,-39.1,-38.82975,270.0,top
X402,-38.75,-25.125,270.0,top
